kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1241 : 1024 7104 0 0 0 0 0 0 0 
_1.ptx 1239 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 1237 : 1024 7616 0 0 0 0 0 0 0 
_1.ptx 1236 : 1024 7552 0 0 0 0 0 0 0 
_1.ptx 1235 : 1024 8000 0 0 0 0 0 0 0 
_1.ptx 1234 : 1024 7744 0 0 0 0 0 0 0 
_1.ptx 1230 : 1024 17856 0 0 0 0 0 0 0 
_1.ptx 1443 : 1 6 0 0 0 0 0 0 0 
_1.ptx 1437 : 2 6 0 0 0 0 0 0 0 
_1.ptx 1435 : 2 14 0 0 0 0 0 0 0 
_1.ptx 1429 : 2 30 0 0 0 0 0 0 0 
_1.ptx 1423 : 1 7 0 0 0 0 0 0 0 
_1.ptx 1422 : 1 6 0 0 0 0 0 0 0 
_1.ptx 1421 : 1 6 0 0 0 0 0 0 0 
_1.ptx 1415 : 1 6 0 0 0 0 0 0 0 
_1.ptx 1414 : 1 7 0 0 0 0 0 0 0 
_1.ptx 1412 : 1 7 0 0 0 0 0 0 0 
_1.ptx 1410 : 1 7 0 0 0 0 0 0 0 
_1.ptx 1408 : 1 336 0 0 0 0 0 0 0 
_1.ptx 1406 : 1 7 0 0 0 0 0 0 0 
_1.ptx 1404 : 1 3 0 0 0 0 0 0 0 
_1.ptx 1401 : 1023 6842 0 0 0 0 0 0 0 
_1.ptx 1398 : 1024 6 0 0 0 0 0 0 1 
_1.ptx 1396 : 1024 9088 0 0 0 0 0 0 0 
_1.ptx 1395 : 1024 7936 0 0 0 0 0 0 0 
_1.ptx 1394 : 1024 6624 0 0 0 0 0 0 0 
_1.ptx 1393 : 1024 12128 0 0 0 0 0 0 0 
_1.ptx 1391 : 1024 7008 0 0 0 0 0 0 0 
_1.ptx 1389 : 1024 6336 0 0 0 0 0 0 0 
_1.ptx 1387 : 1024 8160 0 0 0 0 0 0 0 
_1.ptx 1386 : 1024 36864 0 0 0 0 0 0 0 
_1.ptx 2660 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 2654 : 2 10 32 0 0 2 2 0 0 
_1.ptx 2653 : 2 14 0 2 2 0 0 0 0 
_1.ptx 2652 : 2 22 0 0 0 0 0 0 0 
_1.ptx 2651 : 2 20 0 0 0 0 0 0 0 
_1.ptx 2649 : 2 12 0 0 0 0 0 0 0 
_1.ptx 2647 : 2 14 0 0 0 0 0 0 0 
_1.ptx 2658 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 2646 : 2 6 0 0 0 0 0 0 0 
_1.ptx 2644 : 1024 6132 0 0 0 0 0 0 2 
_1.ptx 2643 : 1024 7808 0 0 0 0 0 0 0 
_1.ptx 2641 : 1024 7424 0 0 0 0 0 0 0 
_1.ptx 2637 : 9216 56672 0 0 0 0 0 0 0 
_1.ptx 2636 : 9216 67392 0 0 0 0 0 0 0 
_1.ptx 2634 : 9216 65568 0 0 0 0 0 0 0 
_1.ptx 2629 : 1022 6070 0 70 40 0 0 0 0 
_1.ptx 2628 : 1022 17922 0 0 0 0 0 0 0 
_1.ptx 2627 : 1022 10928 0 70 40 0 0 0 0 
_1.ptx 2626 : 1022 9520 0 70 40 0 0 0 0 
_1.ptx 2624 : 1022 11274 0 0 0 0 0 0 0 
_1.ptx 2633 : 9216 59840 0 0 0 0 0 0 0 
_1.ptx 2623 : 1022 11820 0 0 0 0 0 0 0 
_1.ptx 2622 : 1022 11466 0 0 0 0 0 0 0 
_1.ptx 2619 : 9216 50700 0 0 0 0 0 0 10 
_1.ptx 2618 : 9216 75104 0 0 0 0 0 0 0 
_1.ptx 2614 : 1024 0 0 0 0 0 0 0 0 
_1.ptx 2612 : 1024 7488 0 0 0 0 0 0 0 
_1.ptx 2611 : 1024 7360 0 0 0 0 0 0 0 
_1.ptx 2610 : 1024 6272 0 0 0 0 0 0 0 
_1.ptx 2608 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 2604 : 1000 5992 0 63 32 0 0 0 0 
